START | Pos: [-13.707, 0.08012, 8.04988] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-13.4570, 0.0801, 8.0499], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-13.4570, 0.0801, 8.0499], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-13.4570, 0.0801, 8.0499], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-13.3320, 0.0801, 7.8334], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-13.2070, 0.0801, 7.6168], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-13.0820, 0.0801, 7.4003], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.9600, 0.0801, 7.2401], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.8467, 0.0801, 7.2461], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.7334, 0.0801, 7.2520], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.6202, 0.0801, 7.2580], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-12.6202, 0.0801, 7.2580], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-12.6202, 0.0801, 7.2580], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-12.6202, 0.0801, 7.2580], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.4037, 0.0801, 7.3830], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-12.1871, 0.0801, 7.5080], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-12.1871, 0.0801, 7.5080], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-12.0621, 0.0801, 7.7245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0621, 0.0801, 7.4745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 7.2245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 6.9745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 6.7245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 6.4745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 6.2245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 5.9745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 5.7245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0622, 0.0801, 5.4745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 5.2245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 4.9745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 4.7245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 4.4745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 4.2245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 3.9745], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-12.0623, 0.0801, 3.7245], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
