START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.4089, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.6589, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [7.9089, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.1589, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.4089, -0.1693, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.6589, -0.1897, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.9089, -0.1223, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.1589, -0.1193, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.4089, -0.1164, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.6589, -0.1623, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.9089, -0.2198, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [10.1589, -0.1693, -2.1897], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [10.1589, -0.1693, -2.1897], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.3754, -0.1693, -2.0648], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.5919, -0.1693, -1.9398], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.8084, -0.1693, -1.8148], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.0249, -0.1693, -1.6898], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.2414, -0.1693, -1.5648], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.4579, -0.1693, -1.4398], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [11.4579, -0.1693, -1.4398], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [11.7079, -0.1753, -1.4398], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [11.7079, -0.1753, -1.4398], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.9244, -0.2213, -1.3148], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.1410, -0.2673, -1.1898], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.3575, -0.3134, -1.0649], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.5740, -0.3548, -0.9399], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [12.7905, -0.3693, -0.8149], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.0070, -0.4231, -0.6899], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.2235, -0.3773, -0.5649], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.4400, -0.5037, -0.4399], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.6566, -0.4742, -0.3149], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.8731, -0.4448, -0.1899], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [14.0896, -0.4153, -0.0649], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
