START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.9396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.6896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.4396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.1896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -0.9396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1560, -0.6896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.0371, -0.4396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0170, -0.1896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0273, 0.0604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0288, 0.3104], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0841, 0.5604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.1693, 1.0604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.1693, 1.3104], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.1226, 1.5604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1591, -0.1049, 1.8104], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [7.3756, 0.3075, 2.1854], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.3756, 0.0794, 1.9354], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.3756, -0.0333, 1.6854], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.3756, -0.0333, 1.6854], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.2505, -0.1693, 1.4689], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [7.2505, -0.1693, 1.4689], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.1693, 1.2189], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.1693, 0.9689], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.1411, 0.7189], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.0749, 0.4689], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.0086, 0.2189], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.0006, -0.0311], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2505, -0.0016, -0.2811], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.0825, -0.5311], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.1693, -0.7811], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.1693, -1.0311], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.1693, -1.2811], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.1693, -1.5311], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.1693, -1.7811], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.2504, -0.1693, -2.0311], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
