START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.4089, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.6589, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.9089, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1589, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.4089, -0.1693, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.6589, -0.1897, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.9089, -0.1223, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.1589, -0.1193, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.4089, -0.1164, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.6589, -0.1623, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.9089, -0.2198, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.1589, -0.1693, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.4089, -0.1693, -2.1898], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.6589, -0.1693, -2.1898], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.9089, -0.1693, -2.1898], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [10.9089, -0.1693, -2.1898], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.1254, -0.1693, -2.0648], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.3419, -0.1693, -1.9398], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.5584, -0.1693, -1.8148], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.7749, -0.1932, -1.6898], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.9914, -0.2393, -1.5648], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.2079, -0.2824, -1.4399], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.4244, -0.3232, -1.3149], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.6410, -0.3640, -1.1899], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.8575, -0.3693, -1.0649], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.0740, -0.3693, -0.9399], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.2905, -0.3921, -0.8149], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.5070, -0.3693, -0.6899], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.7235, -0.3693, -0.5649], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.9400, -0.3693, -0.4399], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [14.1566, -0.3693, -0.3149], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [14.1566, -0.3693, -0.3149], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.4066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.6566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.9066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.1566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.4066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.6566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.9066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.1566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.4066, -0.4389, -0.3151], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.6566, -0.4834, -0.3151], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.9066, -0.4858, -0.3151], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [16.9066, -0.4858, -0.3151], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
