START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.4089, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.6589, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.9089, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1589, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.4089, -0.1693, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.6589, -0.1897, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.9089, -0.1223, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.1589, -0.1193, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.4089, -0.1164, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.6589, -0.1623, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [9.9089, -0.2198, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.1589, -0.1693, -2.1897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [10.1589, -0.1693, -2.1897], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [10.3754, -0.1693, -2.0648], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [10.5919, -0.1693, -1.9398], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [10.8084, -0.1693, -1.8148], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [10.8084, -0.1693, -1.8148], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [11.0584, -0.1693, -1.8148], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [11.3084, -0.1693, -1.8148], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [11.3084, -0.1693, -1.8148], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.5249, -0.1693, -1.6898], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.7414, -0.1843, -1.5648], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [11.9579, -0.2303, -1.4398], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.1744, -0.2763, -1.3148], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.3910, -0.3186, -1.1899], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.6075, -0.3594, -1.0649], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [12.8240, -0.3693, -0.9399], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.0405, -0.3764, -0.8149], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.2570, -0.3837, -0.6899], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.4735, -0.4332, -0.5649], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.6900, -0.4037, -0.4399], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [13.9066, -0.3742, -0.3149], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [13.9066, -0.3742, -0.3149], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.1566, -0.3693, -0.3149], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.4066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.6566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.9066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.1566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.4066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
