START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -1.9396], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -1.6896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -1.4396], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -1.1896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -0.9396], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1560, -0.6896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.0371, -0.4396], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.0170, -0.1896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.0273, 0.0604], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.0288, 0.3104], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.0841, 0.5604], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.1693, 1.0604], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.1693, 1.3104], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1590, -0.1226, 1.5604], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1591, -0.1049, 1.8104], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.1591, 0.1004, 2.0604], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.0341, -0.1483, 1.8439], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [7.0341, -0.1483, 1.8439], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [7.0340, -0.1138, 1.5939], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.0340, -0.1138, 1.5939], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [6.9090, -0.1693, 1.3774], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [6.9090, -0.1693, 1.3774], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [6.9090, -0.1693, 1.3774], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6924, -0.1693, 1.3441], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4247, -0.2278, 1.2955], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1747, -0.3273, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9247, -0.3574, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6747, -0.3446, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4247, -0.3438, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1747, -0.3430, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.9247, -0.3421, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.6747, -0.3413, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4247, -0.3405, 1.2956], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.1747, -0.3397, 1.2957], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.9247, -0.3389, 1.2957], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [3.9247, -0.3389, 1.2957], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.7082, -0.3174, 1.1707], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [3.7082, -0.3174, 1.1707], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.4582, -0.3567, 1.1707], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [3.4582, -0.3567, 1.1707], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.2417, -0.3693, 1.0457], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.0252, -0.3693, 0.9207], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.8087, -0.3693, 0.7957], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.5922, -0.3693, 0.6707], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.3757, -0.3693, 0.5457], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.1592, -0.3693, 0.4208], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.9426, -0.3693, 0.2958], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.7261, -0.4112, 0.1708], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.5096, -0.5307, 0.0458], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.3267, -0.5693, -0.1263], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.1354, -0.5693, -0.2629], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.0854, -0.5693, -0.4129], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [1.0854, -0.5693, -0.4129], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
stop, Pos: [1.0854, -0.5693, -0.4129], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
