START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.9396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.6896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.4396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -1.1896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1693, -0.9396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.1560, -0.6896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1589, -0.0371, -0.4396], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0170, -0.1896], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0273, 0.0604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0288, 0.3104], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.0841, 0.5604], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.1590, -0.1503, 0.8104], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [7.0340, -0.0725, 0.5939], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.9090, -0.1040, 0.3774], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [6.9090, -0.1040, 0.3774], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.9090, -0.0906, 0.1274], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [6.9090, -0.0906, 0.1274], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.7840, -0.1088, -0.0891], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [6.7840, -0.1088, -0.0891], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.7840, -0.0960, -0.3391], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [6.7840, -0.0960, -0.3391], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.6589, -0.1176, -0.5556], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [6.6589, -0.1176, -0.5556], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.6589, -0.1693, -0.8056], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.6589, -0.1693, -1.0556], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.6589, -0.1693, -1.3056], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.6589, -0.1693, -1.5556], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.6589, -0.1693, -1.8056], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.6589, -0.1693, -2.0556], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
stop, Pos: [6.6589, -0.1693, -2.0556], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
